id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
832231786827486664,Rental unit in Norrmalm · 3 bedrooms · 3 beds · 2 baths,402010833,Kristofer,,Norrmalms,59.34724605528033,18.037577795490183,Entire home/apt,1750,5,0,,,1,103,0,
832318303681037298,Rental unit in Södermalm · ★4.40 · Studio · 1 bed · 1 bath,60382478,Elias,,Södermalms,59.3170724,18.0660829,Entire home/apt,919,1,10,2023-06-22,2.65,44,356,10,
832337959853360305,Rental unit in Hägersten-Liljeholmen · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,3376384,Lotta,,Hägersten-Liljeholmens,59.30846692471804,17.985763842049494,Private room,690,1,5,2023-06-12,1.69,1,44,5,
832593246870887878,Rental unit in Enskede-Årsta-Vantör · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,48143807,Carlos,,Enskede-Årsta-Vantörs,59.2615232210787,18.020455464720726,Private room,349,1,10,2023-05-23,2.68,1,218,10,
833098367376424104,Rental unit in Norrmalm · ★4.75 · 1 bedroom · 3 beds · 1 bath,439074505,Travelnest,,Norrmalms,59.3379,18.05494,Entire home/apt,2123,1,4,2023-06-15,2.18,7,361,4,
833098473025765463,Rental unit in Norrmalm · 1 bedroom · 3 beds · 1 bath,439074505,Travelnest,,Norrmalms,59.338221610359504,18.054420991848144,Entire home/apt,2123,1,0,,,7,343,0,
833261393951830202,Loft in Södermalm · 1 bedroom · 2 beds · 1 bath,261813636,Isabelle,,Södermalms,59.31734344763247,18.071732086653927,Entire home/apt,4500,1,2,2023-05-27,1.46,1,361,2,
833413811604794088,Rental unit in Hägersten-Liljeholmen · 1 bedroom · 2 beds · 1 bath,465046893,Thomas,,Hägersten-Liljeholmens,59.29139384507451,17.950850981088642,Entire home/apt,750,2,0,,,6,47,0,
833891642375348584,Rental unit in Norrmalm · ★5.0 · 1 bedroom · 2 beds · 1 bath,22876006,Hedvig,,Norrmalms,59.345583583326864,18.035539078059244,Entire home/apt,2747,7,8,2023-06-23,2.67,82,146,8,
833959661605616719,Rental unit in Östermalm · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,502599370,Olga,,Östermalms,59.34482625427929,18.108643281956482,Private room,550,1,18,2023-06-25,4.78,1,0,18,
